"VENDOR_COD";"SCORE";"YEAR";"SESSION_TAG"
"10040674";38;2022;1
"10085461";48;2022;1
"10087436";75;2022;1
"40002783";70;2022;1
"10047703";55;2022;1
"80007253";49;2022;1
"10016148";65;2022;1
"10062424";45;2022;1
"10087480";43;2022;1
"10070654";53;2022;1
"10084097";67;2022;1
"40002173";55;2022;1
"10076928";54;2022;1
"10091895";66;2022;1
"10054527";68;2022;1
"10037682";71;2022;1
"10058609";53;2022;1
"10001606";68;2022;1
"10087634";54;2022;1
"10011844";74;2022;1
"10072975";51;2022;1
"10076932";54;2022;1
"10082656";39;2022;1
"10023554";64;2022;1
"80007945";35;2022;1
"10001649";68;2022;1
"10030512";62;2022;1
"10000410";38;2022;1
"10083995";67;2022;1
"10006178";60;2022;1
"10087341";71;2022;1
"10064913";68;2022;1
"10086491";37;2022;1
"10065232";64;2022;1
"10088322";59;2022;1
"10015619";60;2022;1
"10052318";70;2022;1
"10088618";53;2022;1
"40003485";72;2022;1
"10062268";54;2022;1
"10026355";68;2022;1
"10046157";65;2022;1
"10090852";60;2022;1
"10006640";64;2022;1
"10079765";62;2022;1
"10084678";56;2022;1
"10086479";60;2022;1
"10043254";72;2022;1
"80009236";48;2022;1
"10049009";48;2022;1
"10061668";57;2022;1
"10083077";71;2022;1
"80007580";58;2022;1
"80008914";74;2022;1
"10000924";46;2022;1
"10050291";25;2022;1
"10079664";51;2022;1
"10037468";62;2022;1
"10085276";35;2022;1
"10056553";49;2022;1
"10091994";35;2022;1
"10025089";50;2022;1
"10087340";57;2022;1
"40003414";48;2022;1
"10028087";55;2022;1
"10084653";61;2022;1
"40003429";46;2022;1
"10032187";74;2022;1
"10036099";49;2022;1
"80008175";57;2022;1
"40002124";49;2022;1
"10059307";46;2022;1
"10083048";58;2022;1
"10022468";52;2022;1
"10047290";55;2022;1
"10083104";73;2022;1
"10083380";63;2022;1
"10012133";51;2022;1
"10054490";57;2022;1
"10016635";46;2022;1
"10080166";50;2022;1
"40001535";60;2022;1
"40003211";70;2022;1
"10075291";29;2022;1
"10032807";65;2022;1
"10006685";52;2022;1
"10053984";57;2022;1
"10083458";60;2022;1
"10088823";58;2022;1
"10052926";52;2022;1
"10089996";52;2022;1
"10076808";57;2022;1
"10006163";61;2022;1
"10041018";58;2022;1
"40003651";50;2022;1
"10085807";62;2022;1
"10082677";81;2022;1
"10059743";49;2022;1
"10073140";50;2022;1
"80003313";53;2022;1
"10026380";76;2022;1
"10087531";64;2022;1
"10065384";67;2022;1
"10012325";34;2022;1
"10072207";51;2022;1
"80009060";78;2022;1
"10063738";68;2022;1
"10076526";68;2022;1
"10052059";70;2022;1
"80002652";57;2022;1
"40000938";60;2022;1
"10011063";81;2022;1
"10022969";61;2022;1
"10065592";30;2022;1
"10057660";76;2022;1
"10011118";68;2022;1
"10054514";68;2022;1
"10083861";52;2022;1
"10040707";38;2022;1
"10081203";76;2022;1
"10082316";60;2022;1
"10086695";58;2022;1
"10076340";68;2022;1
"10032952";70;2022;1
"10085082";67;2022;1
"10088990";39;2022;1
"10012949";47;2022;1
"10054503";54;2022;1
"10077273";60;2022;1
"10088687";71;2022;1
"10057210";70;2022;1
"10040155";45;2022;1
"10086441";59;2022;1
"10079373";56;2022;1
"10082375";60;2022;1
"10089115";37;2022;1
"80005201";66;2022;1
"10012241";63;2022;1
"10090802";77;2022;1
"10041752";58;2022;1
"10000058";64;2022;1
"10088170";32;2022;1
"10003488";51;2022;1
